id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cluster-2.30081	17190.999881334	10.9997306537673	1.1399686032023	9.64915228618385	4.95637416314364e-22	1.5122544055337802e-20
Cluster-2.63198	502.670132585766	-3.15376781136332	0.327269419398055	-9.63661015796721	5.60069553383323e-22	1.69997582085762e-20
Cluster-6937.0	128.499524867698	-4.18264023447307	0.436088912000664	-9.59125563473784	8.7019467498521e-22	2.61864414715961e-20
Cluster-2.17882	212.698763403905	-6.0727781175346	0.633580536857451	-9.58485585377271	9.2586838601393e-22	2.77854003274473e-20
Cluster-11001.8	319.152740037795	-5.2906187345322	0.551980903510188	-9.58478581575522	9.26496761944635e-22	2.77854003274473e-20
Cluster-2.42187	193.309593228182	2.88715900946911	0.302101645462352	9.55691255852131	1.21321996399148e-21	3.61370645980755e-20
Cluster-3861.1	453.831155537888	-3.5276003951126	0.369183820917023	-9.55513268796646	1.23425656810886e-21	3.67013512388168e-20
Cluster-2.33684	397.574026111672	-4.68944392936375	0.490956710357644	-9.55164443306553	1.2765370878453e-21	3.78943598462911e-20
Cluster-2.28190	1519.74584732422	2.64889315164061	0.277479008908274	9.54628302177713	1.3443312926209401e-21	3.9839439523212305e-20
Cluster-2.61379	620.822560808178	-3.65414348670434	0.382965136950801	-9.54171315905912	1.40491993031846e-21	4.14948068308199e-20
Cluster-2.18478	178.29249659646	-3.65619435988534	0.383220658195353	-9.54070267793741	1.41867767251206e-21	4.1830724515212703e-20
Cluster-3020.0	102.96675515822	5.09211082973726	0.534150754995701	9.53309675613626	1.52659996294525e-21	4.48620933834364e-20
Cluster-2.3217	2001.53678495484	-2.69605423801437	0.282829152662282	-9.53244816751141	1.53617026863832e-21	4.50678448043321e-20
Cluster-6570.0	795.482816779555	-2.88311519068295	0.302950722388722	-9.51677938890527	1.78629244399428e-21	5.19713343904406e-20
Cluster-7276.1	203.255000660287	-2.83367660759003	0.297810667015176	-9.51502723522538	1.81665301738757e-21	5.27671532070322e-20
Cluster-2.30535	1235.47018322084	5.40047518243328	0.567857617658949	9.51026280971151	1.9018145251699902e-21	5.51494777348469e-20
Cluster-6572.1	134.66647253929	-5.42356073289731	0.570659163797104	-9.50402810814344	2.01924702447763e-21	5.84582009858671e-20
